PC1,PC2,Result
-0.14621414832870683,-0.16190214270372547,0-1
0.3408913155205846,-0.08443701692521693,0-1
0.46477620151487287,0.05053009953223678,1-0
0.20570563529634123,0.13164078209052885,1/2-1/2
0.06769671892490359,0.05166599434405966,0-1
0.11323139897512269,-0.11494890895836629,1-0
0.21024699125917357,-0.07808078924564738,1-0
-0.2515286168813916,-0.00930252502128634,1-0
0.43923426062542537,0.1339780886001166,1-0
0.27619604196940895,0.016419233022941515,0-1
-0.3436039849683722,-0.14806856813658142,0-1
0.10410527812500459,-0.04694671515751764,0-1
0.06284188365581234,-0.06255856523008523,1-0
0.27994556545803917,-0.07180373956256202,0-1
0.39999177868223845,0.057402877494641485,0-1
0.2894201265165277,-0.086314218597013,0-1
0.22636726225525905,-0.12690632991834894,1/2-1/2
0.08431216742857661,0.12185926122190918,1-0
-0.11630236884546297,-0.0707276883556232,0-1
0.10881144100337559,0.12094193715573778,0-1
-0.2811896515967679,-0.020120721209173978,0-1
-0.024980734133104532,0.02790969334905627,1-0
-0.21361855659476547,-0.09440770790709264,0-1
-0.01977877549720386,-0.00015127500035158614,0-1
0.3884426520057769,0.0381625432544023,0-1
0.19289838251078617,0.13336039473515907,1-0
0.09621643391635892,-0.041257802013882225,0-1
-0.3112780905164804,0.010505149523879764,0-1
-0.046205245910823534,0.10463291272293523,1/2-1/2
-0.2514054427794503,0.024707494951749676,1-0
-0.11526437276573609,-0.05093216061842783,0-1
0.06024521403321481,0.03225305200100109,1-0
0.08941348468201094,-0.024879253546418678,1-0
0.1524121213092514,-0.05162767819676077,1-0
0.007034657025402735,0.07133977636921413,0-1
0.2821866528409389,-0.12012006772636123,0-1
-0.31934716713029315,-0.07013572393101346,0-1
-0.1459999559754489,0.10779369986350845,1-0
-0.1842361187928987,-0.08379535445745122,1-0
-0.0005242217090367651,-0.06941193643220311,0-1
-0.221264160726086,-0.06626550434273959,0-1
0.06591445208388746,-0.1910384982355282,0-1
-0.023421505675514154,0.034477586123854514,1-0
-0.29706894309586535,0.02930267861380642,0-1
-0.07236955268722944,0.032057151547267515,0-1
-0.2795418932273068,0.05440177439612451,1-0
0.4082904507251739,0.08975790272027906,1-0
-0.1646360948188651,-0.1060602771373471,0-1
-0.13302684882602978,-0.08248102129702747,0-1
-0.23372831639245473,-0.024718513550928745,1-0
0.04626151731738681,-0.04033686883735996,1-0
-0.25591750363176635,-0.015486373444331208,1-0
-0.2379204533791578,-0.010701628405070163,0-1
0.28739090046131066,0.10268216919583201,0-1
0.36765835504174005,0.12816564528657495,1-0
0.15069587852759503,-0.1055062254736733,0-1
-0.07202631621473643,0.09340127505507553,1-0
-0.28385533813251673,0.0008610603528049765,1-0
0.39739733678264444,-0.06444041028570031,0-1
-0.0449755716896193,-0.010754163974218856,1-0
0.1695472827903053,-0.1343638938943449,0-1
0.06601482046219409,-0.1234459084074436,1-0
-0.10616266877909131,-0.01791794022213246,0-1
0.13730057090971737,0.11836015386639356,1-0
0.21697719887064815,-0.0646348622382401,1-0
-0.09414648932731995,0.0012133210061942845,1-0
0.155858844023391,0.11669360813599991,1-0
0.07340781642863548,-0.02314686109128307,1-0
0.19477462647993016,-0.08275303337495787,1-0
0.3019913813547106,0.10813997202258094,0-1
0.27074131019761216,0.09764686271565931,0-1
0.08050180565590037,-0.0037948117015550453,1-0
0.16309915498845995,0.10191445792742887,0-1
-0.3824905143554994,-0.07668994402446774,1-0
-0.06919933406370249,-0.02849649294956906,1/2-1/2
-0.0640087097974158,-0.19072943830023031,1-0
-0.01854677025042417,0.013477431240682403,1-0
0.6643630187340346,0.20510508309053474,1/2-1/2
0.03348414017477852,-0.11359981400533069,0-1
-0.20591637417650066,-0.07474226864057912,1-0
-0.3211042523945715,-0.16400449593628863,0-1
0.07081842373747216,-0.01630806461395859,1-0
-0.2885934046043397,-0.10671545403792142,1-0
-0.26065529264622944,-0.0624753689635176,1-0
-0.44994916988292694,0.07201263087948664,1-0
0.29738003076297037,-0.16155411454117322,1-0
0.26571842610596463,-0.11077155574472677,0-1
0.028392250733196178,0.156958311769924,1-0
-0.13555049491519344,0.05259620161143247,1-0
0.41334470590931716,0.14339039926064281,1/2-1/2
-0.3356913677639058,0.006436688559277343,0-1
-0.19256185822334715,-0.08288984496225983,0-1
0.18669021444906775,0.08649820580980161,1-0
-0.2022919526416912,0.10696841642943594,0-1
0.44089977551009074,0.04623593009270019,0-1
0.2907340041133326,0.10927078038353652,0-1
0.17209991605473762,0.09470972683155934,0-1
-0.02189332881195538,0.13457149735680193,0-1
0.04191693074556668,0.04103675998872,1-0
0.08867661935491444,0.21186083237721595,1-0
-0.15451169091486183,-0.10045576852220284,1-0
-0.019464752839441712,-0.10783648625169868,0-1
0.28774707687040935,-0.11973543428637436,0-1
0.2777796900768956,0.09722064142518189,1-0
-0.5520044831155942,-0.045884950802120045,1-0
0.05089036938073521,0.03320629848772602,0-1
0.003034175766413072,-0.07652719666486338,1-0
0.5242997143579824,0.01674228648359838,0-1
0.30200293957736357,-0.12805948967596079,0-1
0.3646362314804499,-0.012821094444365397,0-1
-0.23006738448414,0.08950000944548006,1-0
-0.1213781353254435,0.07829837390342545,0-1
-0.09363196212525315,-0.12666506136294697,0-1
0.06840242017162568,-0.07686100245576202,0-1
-0.1497494598367387,0.047467996370012394,0-1
0.6955124468418894,0.262668013522418,1-0
-0.21727761953322233,-0.06692388029505733,1-0
-0.13257790046852236,-0.08807331073551435,1-0
-0.25925074149675953,0.2281041725029301,0-1
-0.04200956435955594,0.06973836525559893,1-0
-0.08172015808959454,0.006631179422625477,1-0
-0.5257547846247861,-0.014181742778587192,1-0
-0.12734850691516986,-0.13019561934546148,1-0
-0.24641152344930772,-0.10432367647664176,0-1
-0.3469454719077092,0.128408835982791,1-0
0.16222434312121647,-0.02564338172298765,0-1
0.2957018506126359,0.09528736000321134,0-1
-0.3727258374155297,-0.03009668986121515,0-1
-0.4438156364944808,0.1460430584695658,1-0
-0.1284280625768326,-0.21118106926671687,0-1
-0.29399383941651624,-0.19198423407424403,0-1
-0.2499501152945377,-0.20054736857075273,0-1
-0.24042551170068394,-0.1971238003631731,0-1
0.4925970798335737,-0.07444122273110805,1-0
-0.4211915835210412,-0.06588005585353088,1-0
-0.22354406709430252,-0.05277154329793561,1-0
0.08176813559428653,0.03714921514388775,1-0
0.26346130583404226,0.017688511524028255,1-0
0.36737812457462815,0.16869239314483755,1-0
-0.14863818796640516,-0.03383453491405142,0-1
-0.09583161006970653,-0.03903089306111818,0-1
-0.07154802192881493,0.09360257363108052,0-1
0.14899599691021925,0.07676803476274724,1-0
-0.5403160369618257,-0.08746540635946423,1-0
0.022413288156897915,0.01590982640943467,1-0
0.3985186110068899,-0.04929696889875701,1-0
0.22502972972182245,-0.146872709754884,0-1
0.10227698859889889,0.04590952738999651,1-0
0.2278189578894514,-0.1146452768835372,1-0
0.19499811368908038,-0.24636201360129065,0-1
0.10669324148826431,-0.23487568365912886,0-1
0.30317802741139377,0.047570153275079324,1-0
0.1255673793625941,-0.23872890605871672,0-1
0.07993025940528897,-0.22533354811590556,1-0
0.635061156067972,0.03212310361145884,1-0
0.15662651467771582,0.13009768870842456,0-1
0.06421859671413432,-0.190877144069841,1-0
-0.490699370832531,0.05654376165141317,0-1
0.2979881622855254,0.10915537374802481,0-1
0.022551293579066822,-0.06543827625351298,1-0
0.061386778357161775,-0.041927772863496304,0-1
-0.18659874672413712,-0.11022163686319687,0-1
-0.09745091376485504,0.15612367097045413,1-0
0.04423765718264139,0.04083176992669213,1-0
0.20148882082972241,-0.13771204334159437,0-1
-0.24457042498063308,0.023291398098960747,0-1
0.21118103193740145,0.16504057271195063,1-0
-0.04129266364332662,0.06336916237710774,0-1
0.26665301891248894,0.078274914131365,1-0
-0.007089970307570859,0.12700448967053182,1-0
-0.09110368405584912,-0.06697112485231138,1-0
-0.2462835043646342,0.28019119037485607,1-0
-0.04553631008120307,0.0097118128707665,1-0
-0.30916912976166283,0.17873163507072817,1-0
-0.18826322501102422,-0.06253968436195621,0-1
0.2299030922097527,0.2572458507335784,1-0
0.13783852320500678,-0.01707192920254272,0-1
0.06324696980994227,-0.029348785789657883,0-1
0.08056247784928283,-0.2061896530982587,0-1
-0.2523228704537481,0.024568615202448463,1-0
-0.158954527841905,-0.11339263404538574,1-0
-0.10829470672453334,-0.0108428545298965,1-0
-0.3007467823063871,-0.06468723955885344,0-1
-0.2062373346398917,-0.08889281617634287,0-1
-0.3596528435708623,0.00845642255558915,0-1
-0.5403910391650367,-0.07949636215503211,1-0
-0.014289696620037096,-0.027362330343073976,0-1
0.21419135628693664,0.009291973287307576,0-1
0.6662975225751997,0.07652580513693824,1-0
0.31506598633921645,0.07925924009728988,0-1
0.15005730281040286,-0.07155299735877493,0-1
-0.21642402744996214,-0.17516849870186044,1-0
-0.4322986516141498,-0.13208934039720505,1-0
0.35136775389577424,-0.13150672548687162,0-1
0.1918484054073698,0.0653535442087623,0-1
-0.04560127234259759,-0.017223154867911886,1-0
0.04037808969987966,0.08850876865652155,0-1
0.2006626412501502,-0.07023001894091709,0-1
0.06930828363290054,-0.042829181263494776,1-0
-0.38084112243243595,-0.0429000390156781,0-1
0.4182632482666868,-0.18162341452889694,0-1
0.39356766735659354,-0.0650447156228853,1-0
