PC1,PC2,Result
0.06033498755498534,0.013574616029116221,0-1
0.06311002339931526,0.03864036461270062,0-1
-0.007449352155429412,0.16049117593334336,0-1
0.3197039110721953,-0.07587834421527737,1-0
0.08863185433421916,-0.038260007026238996,1-0
0.15967844065029135,-0.08630841086557159,1-0
-0.3063467347633417,-0.08453478486183878,0-1
0.14834776520454296,-0.010780797228943428,1-0
-0.36856650126675,0.07777551428225846,0-1
-0.26704198911427435,-0.12923958341616312,0-1
-0.08986311023626137,-0.14748918024526156,1-0
0.09131196261915231,-0.07195168335107831,0-1
0.24519339765507553,-0.0879614646774968,0-1
0.0680969012142798,0.18001695514302388,1-0
-0.03854303434841977,-0.03102666828229325,0-1
0.295335993014866,-0.005748280191344074,0-1
-0.05271135891375334,0.13871470343514233,0-1
-0.23453494093220317,-0.08495914432227156,1-0
0.3016159157999314,-0.033938630356400726,0-1
-0.034871048314274344,-0.018473616980757196,1-0
-0.3748068984107546,-0.049821153514272645,0-1
-0.6085384237645873,-0.06583490325642799,1-0
0.035533714387218196,0.04854105180242321,1-0
-0.36613324528252156,0.1105977880150161,1-0
-0.2510722987334483,0.030993970199800852,0-1
-0.12915117522258368,0.07210852236052281,0-1
-0.203189502573754,-0.055096431522768816,0-1
-0.22270980062498058,-0.053165085583341445,0-1
0.12877888289711992,-0.12343021741844706,0-1
0.09438101168284996,0.02239722953512921,0-1
-0.4671023260818636,-0.04067137033975349,0-1
-0.06825368991777081,-0.1163654245929362,0-1
-0.22448114266742603,-0.05904937328855267,0-1
0.6145264972463098,-0.012811021251324023,0-1
-0.008410415393642401,0.004032856187747347,0-1
-0.23539493832013636,-0.0040765007050859725,0-1
-0.35448956136302523,-0.00585357712119694,1-0
-0.4008773065683949,0.01297986893635314,0-1
-0.6763368356548114,0.09579205440606708,0-1
-0.4595694585098185,-0.055268004902682646,0-1
0.2592337851441906,0.017749028326067118,1-0
-0.11513421881706143,-0.01693380419169395,1-0
0.01302978460440718,-0.03099122411991563,1-0
-0.0020279910330461837,-0.14133404703010707,1-0
-0.43845664390717354,0.016744068543272733,0-1
0.14395595047276843,-0.1453080439998432,0-1
0.06478843896590514,-0.035766168726730996,0-1
0.000403410878094812,-0.028902479088808747,0-1
-0.5018842117963802,-0.09132444021017438,1-0
0.02205952406916023,-0.05160156166158304,1-0
0.10855424289936078,-0.06723539371625714,1-0
0.061554302195755195,-0.23681808904614676,0-1
0.11907824689353264,0.05753456132207693,1-0
0.5271191000791184,0.044077242694588625,0-1
0.13209139701082795,-0.03600215544284929,0-1
0.20986904293779496,-0.037390751739154335,1-0
-0.4339220804062933,-0.09098999596381108,0-1
-0.0012006218548722414,0.011506140890937266,1-0
-0.19126942704998784,0.0720142048362791,0-1
-0.11377339330408565,0.15871462168970926,0-1
0.11327836930505764,-0.10818422831192602,1-0
