PC1,Result
902.6572345456539,1-0
937.1918760618664,1-0
-18.314699129043674,1-0
52.14595845692838,0-1
412.83541150626934,0-1
-1030.3834595175472,1-0
590.7493020240395,0-1
-182.8104992903709,0-1
542.9415676342128,1-0
-618.2500095026771,1-0
-1028.0485449521696,0-1
218.9405212911547,0-1
101.53936534811737,1-0
-222.65306504685304,1/2-1/2
584.4519802940858,1-0
-316.3205163268058,1-0
-1035.3898655997473,1/2-1/2
1001.9154288812888,1-0
102.3013737931301,0-1
-430.95891648023917,0-1
287.7183331468091,0-1
638.1502240190875,0-1
-1215.1540635756362,1-0
-110.15148715104488,0-1
-636.7941456845101,1-0
-521.1584428515789,0-1
26.80267936961127,1/2-1/2
-291.8706516332927,0-1
366.2259157395006,1-0
-1175.1403908935076,1-0
130.72647776067834,0-1
-179.97966705350336,0-1
24.423661467327747,1-0
-685.6053528620669,1-0
537.6250363598092,1-0
-70.7666392331871,0-1
214.99611028303752,0-1
-579.4362765359342,1-0
-850.2673488989994,1-0
381.92626107652814,1/2-1/2
-1022.8366772576414,1-0
-679.9654993059662,1-0
-413.3587678034014,1-0
-502.26254092680483,1-0
-746.4364705458183,1-0
-457.2310577471467,1-0
-940.3758766743592,0-1
-531.4901568056484,0-1
-1021.6099443870912,1-0
-1144.7320614639004,0-1
79.99606152469914,1-0
770.9677422040381,1-0
722.509397058288,0-1
599.3621144687827,1-0
153.17233436563856,1-0
-487.737337041764,0-1
842.5501730188739,0-1
628.9192567268083,0-1
430.2872611607286,0-1
892.7433678900234,0-1
83.9006527788797,0-1
-273.38316481978336,0-1
336.1838499111668,1-0
505.98934885495055,0-1
227.10084341036463,1-0
169.80997708379755,0-1
-87.7526500412664,1-0
-0.8585205643921654,1-0
201.20777426318728,1-0
560.4010749336608,0-1
-212.87840888472192,1-0
-817.3416443492865,1-0
-238.2350591564973,1-0
747.3714181743817,0-1
1279.0305252397097,0-1
343.7472867631045,1-0
449.2614968729822,1-0
-1085.1825741404468,0-1
269.20655675989155,0-1
-165.5085581687822,0-1
9.463783866113317,1-0
1580.4873470772532,1-0
64.2998020846735,1-0
-375.61149799925533,0-1
163.0278278970054,1-0
286.0138483245587,1-0
308.4646159795607,1-0
597.8006830238437,0-1
-210.30083531191758,0-1
-652.7829499265627,0-1
-595.7034283151243,1-0
-72.5061569954396,0-1
-1068.346567978709,0-1
1001.3447568917027,1-0
-501.5794742624953,1-0
283.0887340841382,0-1
-219.21428997544126,1-0
57.32079831968849,1-0
477.2058366170836,1-0
97.76002673149287,1-0
-631.2776233240588,0-1
-1250.4083870114064,0-1
770.923373190331,1-0
-987.0799709077307,1-0
337.10763147738453,1/2-1/2
331.02029022762827,1-0
225.33467939266575,0-1
-127.32574097154657,0-1
230.577544916443,0-1
399.20299135819823,1-0
322.9763752302838,0-1
52.197889002151896,0-1
-113.71223598407369,0-1
1304.54559496502,0-1
911.7843407474857,1-0
1.8757917639663901,0-1
1140.448800391393,1-0
172.2542967157633,1-0
799.3844594870293,0-1
578.7064911053503,1-0
496.1906969188494,0-1
960.405163121135,0-1
284.81480721207345,1-0
84.95783291639145,1-0
-243.42164256124715,0-1
-1163.1210897224091,1-0
-721.8689383372684,1/2-1/2
-439.73201903417566,0-1
-211.25048330776417,1-0
615.6361721897802,1-0
650.3736248368459,1/2-1/2
-187.65943530818367,1/2-1/2
-298.74941684206397,1/2-1/2
389.897386262533,1-0
-90.82090924083377,1/2-1/2
466.2814724548348,1-0
-304.1233491879725,1-0
-851.4757995350492,0-1
959.6485041560582,1-0
696.6085007027932,1-0
518.1456734008402,1-0
580.4366727938982,0-1
295.212625385253,1-0
-99.67003422743528,1-0
-851.5477134071007,1-0
-711.794831431303,1-0
-1085.8471382206783,1-0
1020.8760503958943,0-1
1112.1788777970287,0-1
488.7313641705482,0-1
855.7573312367072,1-0
413.03443053955834,1-0
-240.51432452894687,1-0
897.3508644979938,1-0
1297.500413531066,0-1
1308.4782397675358,1-0
257.1124482220771,0-1
-1004.3567973028714,0-1
411.21166793978455,0-1
-905.7567018048169,1-0
-396.40142080614487,0-1
991.4197796201811,0-1
754.2981522674827,1-0
13.99678957041624,0-1
-244.0205657851361,0-1
-1184.4707208027123,0-1
35.35035964800272,1-0
299.7430313943287,0-1
-768.7560299379952,0-1
702.2258165640624,1-0
616.9078335502754,0-1
-1100.820533906069,0-1
-319.76041035069466,0-1
-78.77318727210286,0-1
108.26596145545227,1-0
1204.4290880938074,0-1
-221.52688719556545,1-0
459.1390420728021,1-0
58.95781695716096,1-0
-1399.3257421474643,0-1
-555.8579690639776,0-1
244.99059713995075,0-1
160.43072571135372,1-0
421.70175056114067,1-0
168.7049749616749,1-0
725.9018082242278,0-1
-82.46590153016268,1-0
-494.62431937176234,0-1
-753.3272223097692,1-0
1064.142731523522,0-1
1351.9202324948933,1-0
1417.7212933643418,1/2-1/2
1122.4721792900514,1-0
-14.850639767853409,1-0
727.7891435141137,1-0
993.1710635880345,1-0
199.28193039878352,0-1
916.9705342393272,1-0
301.5782892392731,1-0
1232.1309383938128,1-0
-751.09619149845,1-0
121.3997703857076,0-1
-165.52764289271045,1-0
-779.2548610341801,0-1
597.7306398074506,0-1
-413.7932696938733,0-1
-330.1863328584586,1-0
167.15433766957858,0-1
156.61264096604737,0-1
1350.7785126176364,1-0
542.3039154862286,0-1
198.15098839717348,1-0
-256.17496888912,0-1
-198.36971269199375,1-0
-283.84404681768956,0-1
43.45335414556757,0-1
-108.36028185675877,0-1
1663.5815216845763,1-0
-741.1594480213271,0-1
1233.3729865543378,0-1
215.4257237870779,1-0
648.0207671636285,1-0
-314.90665486467606,1-0
-379.09038662404146,0-1
-1175.1671559260353,0-1
-172.43538837535334,1-0
-430.43295263102027,1-0
-1349.1031770895345,1/2-1/2
-1151.478448671121,1/2-1/2
556.6722822329803,0-1
-511.9743254911509,1-0
-1005.9230663479927,1/2-1/2
-1685.167989730869,1-0
257.0395341746298,1-0
-732.518310892422,1-0
-676.4879218605997,0-1
-318.54719556432246,0-1
-646.9677847707312,1-0
-403.34918372869197,0-1
-286.7700596610098,1-0
-750.9419087281649,0-1
516.4299818492286,1-0
-446.13295884138734,0-1
-912.5573762392987,0-1
-131.46649786786566,0-1
157.8167626919053,1-0
806.1951029213128,0-1
-589.9626806131005,1-0
392.1456538057341,1-0
104.68090038540413,0-1
-808.6591786010586,0-1
-30.932923524030684,0-1
904.2516587116065,1-0
-506.8025713499969,0-1
355.62988009507035,1-0
1143.9984104858931,1-0
729.7936104337996,1-0
-87.69050748305062,0-1
582.7336609246095,0-1
947.7473565263754,1-0
470.11485075389555,0-1
246.85719194080366,0-1
-720.3077217828823,1-0
144.53078466021316,0-1
-122.17956491960831,1-0
392.1104739660127,0-1
-765.4514300739329,1-0
431.488319828592,1-0
